indiv_id,epochs,nb_layers,l1,l2,batch_norm,dropout,filters_per_layers,filters_double,MLP_end,activation,kernel,padding,max_or_avg_pool,pool_frequency,pool_frequency_change,loss,val_loss,accuracy,val_accuracy,time_taken,learning_r,momentum,optimizer,batch_size
1,50,8,0.1,0,0,0,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.061,1.459,0.98,0.779,1078.96,0.001,0.9,Adam,100.0
2,50,8,0.01,0,0,0,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.062,1.776,0.979,0.764,1131.84,0.001,0.9,Adam,100.0
3,50,8,0.001,0,0,0,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.051,1.52,0.983,0.793,1174.1,0.001,0.9,Adam,100.0
4,50,8,0.0001,0,0,0,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.062,1.578,0.979,0.764,1275.6,0.001,0.9,Adam,100.0
5,50,8,0.0,0.1,0,0,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.059,1.379,0.98,0.785,1255.35,0.001,0.9,Adam,100.0
6,50,8,0.0,0.01,0,0,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.058,1.509,0.981,0.779,1225.5,0.001,0.9,Adam,100.0
7,50,8,0.0,0.001,0,0,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.056,1.507,0.981,0.774,1191.62,0.001,0.9,Adam,100.0
8,50,8,0.0,0.0001,0,0,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.063,1.3,0.978,0.774,1235.42,0.001,0.9,Adam,100.0
9,50,8,0.1,0.1,0,0,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.063,1.419,0.979,0.779,1290.69,0.001,0.9,Adam,100.0
10,50,8,0.01,0.01,0,0,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.056,1.419,0.981,0.783,1275.63,0.001,0.9,Adam,100.0
11,50,8,0.001,0.001,0,0,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.056,1.333,0.982,0.789,1369.74,0.001,0.9,Adam,100.0
12,50,8,0.0001,0.0001,0,0,64,0,128,relu,"(3, 3)",same,avg,2,"(0, 0)",0.066,1.37,0.977,0.799,1264.59,0.001,0.9,Adam,100.0
